Type,Trans Date,Post Date,Description,Amount
Sale,01/15/2018,01/17/2018,BUSCH'S #1048,-65.23
Sale,01/15/2018,01/15/2018,TASTE KITCHEN,-301.14
Sale,01/10/2018,01/11/2018,ZINGERMAN'S DELICATSN,-13.50
Sale,01/10/2018,01/11/2018,ZINGERMAN'S DELICATSN,-49.79
Sale,01/10/2018,01/11/2018,WHOLEFDS ARB 10167,-135.50
Sale,01/07/2018,01/08/2018,BP#6444848SUNNY OIL,-57.39
Sale,01/06/2018,01/08/2018,YPBOR YAN RESTAURANT,-18.26
Sale,01/06/2018,01/07/2018,Audible,-14.95
Sale,01/06/2018,01/07/2018,WHOLEFDS ARB 10167,-80.22
Sale,01/05/2018,01/07/2018,Amazon.com,-49.68
Sale,01/05/2018,01/05/2018,Amazon.com,-46.58
Payment,12/30/2017,12/31/2017,Payment Thank You - Web,1815.85
Sale,12/29/2017,12/31/2017,AMAZON MKTPLACE PMTS,-124.61
Sale,12/29/2017,12/29/2017,AMAZON MKTPLACE PMTS,-15.97
Sale,12/29/2017,12/29/2017,AMAZON MKTPLACE PMTS,-74.24
Sale,12/29/2017,12/29/2017,AMAZON MKTPLACE PMTS,-5.17
Sale,12/29/2017,12/31/2017,AMAZON MKTPLACE PMTS,-36.29
Sale,12/28/2017,12/29/2017,AMAZON MKTPLACE PMTS,-7.22
Sale,12/28/2017,12/31/2017,DELTA AIR   0062307729088,-371.40
Sale,12/27/2017,12/28/2017,MICROSOFT   *XBOX,-5.29
Sale,12/26/2017,12/27/2017,SAMSCLUB #6667,-61.69
Sale,12/25/2017,12/26/2017,Microsoft   *Xbox,-52.99
Sale,12/23/2017,12/24/2017,COSTCO WHSE #1106,-330.26
Sale,12/23/2017,12/25/2017,ZINGERMAN'S DELICATSN,-23.96
Sale,12/22/2017,12/24/2017,APPLE STORE  #R230,-912.04
Sale,12/22/2017,12/24/2017,ART VAN FURNITURE 122,-211.99
Sale,12/22/2017,12/24/2017,L OCCITANE 245,-30.74
Sale,12/21/2017,12/22/2017,ANTONIOS CUCINA ITALIANA,-31.80
Sale,12/21/2017,12/22/2017,BP#9327263N A ARBOR LAND,-56.89
Sale,12/20/2017,12/22/2017,FRIDA MEXICAN CUISINE,-11.52
Sale,12/19/2017,12/20/2017,AMAZON MKTPLACE PMTS,-36.48
Sale,12/19/2017,12/21/2017,BROME BURGER,-9.54
Sale,12/19/2017,12/20/2017,WHOLEFDS ARB 10167,-19.16
Sale,12/19/2017,12/20/2017,AMAZON MKTPLACE PMTS,-129.95
Sale,12/18/2017,12/19/2017,KROGER #605,-98.55
